         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
            test	               7	             462	   Morgan3noFeat	        Tanimoto	0.564935064935065	0.7467532467532467	0.8311688311688312	0.8874458874458875	0.9069264069264069	0.9177489177489178
            test	               6	             824	   Morgan3noFeat	        Tanimoto	0.4987864077669903	0.7949029126213593	0.8895631067961165	0.9514563106796117	0.9611650485436893	0.9611650485436893
            test	               5	              68	   Morgan3noFeat	        Tanimoto	0.8529411764705882	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan3noFeat	        Tanimoto	0.4835164835164835	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	   Morgan3noFeat	        Tanimoto	0.3968253968253968	0.5784832451499118	0.6419753086419753	0.7530864197530864	0.8395061728395061	0.8624338624338624
            test	               2	            1190	   Morgan3noFeat	        Tanimoto	0.6084033613445378	0.8470588235294118	0.9033613445378151	0.9487394957983193	0.957983193277311	0.9588235294117647
            test	               1	            1516	   Morgan3noFeat	        Tanimoto	0.4795514511873351	0.6866754617414248	0.7737467018469657	0.8693931398416886	0.9155672823218998	0.9228232189973615
            test	             all	            5007	   Morgan3noFeat	        Tanimoto	0.359896145396445	0.5530257639304973	0.6389055322548433	0.7425604154184142	0.8262432594367884	0.8532055122828041
            test	              10	              23	   Morgan3noFeat	            Dice	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan3noFeat	            Dice	0.43478260869565216	0.5652173913043478	0.6032608695652174	0.717391304347826	0.8478260869565217	0.9130434782608695
            test	               8	              82	   Morgan3noFeat	            Dice	0.8170731707317073	0.9390243902439024	0.9634146341463414	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	   Morgan3noFeat	            Dice	0.5670995670995671	0.7489177489177489	0.8311688311688312	0.8874458874458875	0.9069264069264069	0.9177489177489178
            test	               6	             824	   Morgan3noFeat	            Dice	0.4987864077669903	0.7961165048543689	0.8907766990291263	0.9514563106796117	0.9611650485436893	0.9611650485436893
            test	               5	              68	   Morgan3noFeat	            Dice	0.8529411764705882	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan3noFeat	            Dice	0.4835164835164835	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	   Morgan3noFeat	            Dice	0.3985890652557319	0.5837742504409171	0.6455026455026455	0.7530864197530864	0.8395061728395061	0.8624338624338624
            test	               2	            1190	   Morgan3noFeat	            Dice	0.6084033613445378	0.8470588235294118	0.9033613445378151	0.9487394957983193	0.957983193277311	0.9588235294117647
            test	               1	            1516	   Morgan3noFeat	            Dice	0.4795514511873351	0.6866754617414248	0.7730870712401056	0.8687335092348285	0.9149076517150396	0.9228232189973615
            test	             all	            5007	   Morgan3noFeat	            Dice	0.3602955861793489	0.5532254843219493	0.6395046934291991	0.7431595765927701	0.8260435390453366	0.8530057918913521
            test	              10	              23	   Morgan3noFeat	        TverskyA	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan3noFeat	        TverskyA	0.42391304347826086	0.5543478260869565	0.6195652173913043	0.7282608695652174	0.8641304347826086	0.9184782608695652
            test	               8	              82	   Morgan3noFeat	        TverskyA	0.8048780487804879	0.9512195121951219	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
